temp_1,temp_2,temp_3,temp_4,temp_5,action_1,action_2,action_3,action_4,action_5,phase,reward,timestep
178.22624807992435,207.32572019830587,199.91976919763994,205.1737755726554,237.26538134153216,2,1,0,1,0,warmup,,100
178.78417688000206,208.45202840177282,198.73234050377678,206.43655541960587,236.28456870308105,1,1,0,1,0,warmup,,101
179.28039117242315,209.5771978924083,197.54645967377851,207.697766288631,235.16216128288247,2,1,0,1,0,warmup,,102
179.83803198447285,210.70121614529748,196.36212294549128,208.95738054769978,234.12085127711933,1,1,0,1,0,warmup,,103
180.56071712581726,211.82409793871253,195.17932833882324,210.21541537132535,233.05136753037985,1,1,0,1,0,warmup,,104
181.49368252386225,212.94587808482623,193.9980746234716,211.47186707389818,232.18309307158066,1,1,0,1,0,warmup,,105
182.5849500704244,214.06659613191098,192.87944559338027,212.72677866639248,231.41010057206273,1,1,0,1,3,warmup,,106
183.6465232264307,215.18630263304175,191.5912575878316,213.9801826458971,230.91924844193588,1,1,0,1,0,warmup,,107
184.7876368591597,216.30495513835447,190.40077607717012,215.23210258317036,230.41663312033734,1,1,0,1,3,warmup,,108
185.78564148372652,217.42259176857706,189.1768541679477,216.482557070282,229.845272523123,1,1,0,1,0,warmup,,109
186.83407600616005,218.5391760547941,188.20607121432303,217.73152738174838,229.28092066878972,1,1,0,1,2,warmup,,110
187.88200012292205,219.5992391287244,187.31826646122886,218.9179802785507,228.86322718248607,1,1,3,1,0,warmup,,111
188.92940249241582,220.8138719559226,186.72603381262792,220.27414520184632,228.7622057263802,1,1,0,1,1,warmup,,112
189.97631461307384,221.9401637494604,186.17372355937442,221.5328792918552,229.1800714159377,1,1,3,1,1,warmup,,113
191.02271941406673,223.0973464762311,185.78877772505268,222.8254391176718,229.91616334526893,1,1,0,1,1,warmup,,114
192.06862288703428,223.97967773402252,185.3197240455329,223.86534299470412,231.02968990851073,1,1,3,1,1,warmup,,115
193.11397037708937,224.81303338861255,184.8753336944156,224.8228066131604,232.16036733802548,1,2,0,2,1,warmup,,116
194.158754063069,225.58921607119444,184.28657928929172,225.49653471291742,233.29320420452,1,1,3,1,1,warmup,,117
195.20296075914447,226.19686632995968,183.9258331640842,226.09921828374567,234.21761514688774,1,2,0,2,1,warmup,,118
